,chembl_compound,uniprot_id,drugbankId
3708,CHEMBL.COMPOUND:CHEMBL529437,UniProtKB:Q9Y5Y9,
3709,CHEMBL.COMPOUND:CHEMBL529437,UniProtKB:Q14524,
3710,CHEMBL.COMPOUND:CHEMBL185,UniProtKB:P04818,DB00544
3711,CHEMBL.COMPOUND:CHEMBL134,UniProtKB:P08913,DB00575
3712,CHEMBL.COMPOUND:CHEMBL134,UniProtKB:P18089,DB00575
3713,CHEMBL.COMPOUND:CHEMBL134,UniProtKB:P18825,DB00575
3714,CHEMBL.COMPOUND:CHEMBL1742420,UniProtKB:Q15722,DB06248
3715,CHEMBL.COMPOUND:CHEMBL4871106,UniProtKB:Q9Y243,
3716,CHEMBL.COMPOUND:CHEMBL4871106,UniProtKB:Q9UBS0,
3717,CHEMBL.COMPOUND:CHEMBL4871106,UniProtKB:P31749,
3718,CHEMBL.COMPOUND:CHEMBL4871106,UniProtKB:P23443,
3719,CHEMBL.COMPOUND:CHEMBL1615369,UniProtKB:P00734,
3720,CHEMBL.COMPOUND:CHEMBL2146133,UniProtKB:P20648,
3721,CHEMBL.COMPOUND:CHEMBL523299,UniProtKB:P20309,
3722,CHEMBL.COMPOUND:CHEMBL1515,UniProtKB:P07202,DB00763
3723,CHEMBL.COMPOUND:CHEMBL983,UniProtKB:Q07001,
3724,CHEMBL.COMPOUND:CHEMBL983,UniProtKB:P02708,
3725,CHEMBL.COMPOUND:CHEMBL983,UniProtKB:Q04844,
3726,CHEMBL.COMPOUND:CHEMBL983,UniProtKB:P07510,
3727,CHEMBL.COMPOUND:CHEMBL983,UniProtKB:P11230,
3728,CHEMBL.COMPOUND:CHEMBL1779710,UniProtKB:P27487,DB12625
3729,CHEMBL.COMPOUND:CHEMBL1201488,UniProtKB:P47872,
3730,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:P14867,DB01189
3731,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:Q9UN88,DB01189
3732,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:P47869,DB01189
3733,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:O14649,DB01189
3734,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:O00591,DB01189
3735,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:Q16445,DB01189
3736,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:O14764,DB01189
3737,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:P48169,DB01189
3738,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:P23415,DB01189
3739,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:P31644,DB01189
3740,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:Q99928,DB01189
3741,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:P18507,DB01189
3742,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:O95069,DB01189
3743,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:P18505,DB01189
3744,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:P28472,DB01189
3745,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:P47870,DB01189
3746,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:Q8N1C3,DB01189
3747,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:Q7Z418,DB01189
3748,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:P78334,DB01189
3749,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:P57789,DB01189
3750,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:Q9NPC2,DB01189
3751,CHEMBL.COMPOUND:CHEMBL1200733,UniProtKB:P34903,DB01189
3752,CHEMBL.COMPOUND:CHEMBL14762,UniProtKB:P50613,DB06195
3753,CHEMBL.COMPOUND:CHEMBL14762,UniProtKB:P06493,DB06195
